Nome completo,Clube,UF,SVG,Medio,Grande,Feminino,Masculino,Libertadores (masculina),Info sobre alteração de nome,,,,,
Esporte Clube Bahia SAF,Bahia,BA,ba_bahia.svg,ba_bahia_512x512.png,ba_bahia_3000x3000.png,Brasileiro série A1,Brasileiro série A,sim,,,,,,
Esporte Clube Vitória,Vitória,BA,ba_vitoria.svg,ba_vitoria_512x512.png,ba_vitoria_3000x3000.png,Brasileiro série A1,Brasileiro série A,não participou,,,,,,
Atlético Mineiro S.A.F.,Atlético Mineiro,MG,mg_atletico-mineiro.svg,mg_atletico-mineiro_512x512.png,mg_atletico-mineiro_3000x3000.png,Brasileiro série A1,Brasileiro série A,não participou,,,,,,
Cruzeiro Esporte Clube SAF,Cruzeiro,MG,mg_cruzeiro.svg,mg_cruzeiro_512x512.png,mg_cruzeiro_3000x3000.png,Brasileiro série A1,Brasileiro série A,sim,,,,,,
Clube do Remo,Clube do Remo,PA,pa_clube-do-remo.svg,pa_clube-do-remo_512x512.png,pa_clube-do-remo_3000x3000.png,Brasileiro série A3,Brasileiro série A,não participou,,,,,,
Athletico Paranaense,Atlético Paranaense,PR,pr_athletico-paranaense.svg,pr_athletico-paranaense_512x512.png,pr_athletico-paranaense_3000x3000.png,não participou,Brasileiro série A,não participou,,,,,,
Coritiba SAF,Coritiba,PR,pr_coritiba.svg,pr_coritiba_512x512.png,pr_coritiba_3000x3000.png,Brasileiro série A3,Brasileiro série A,não participou,,,,,,
Clube de Regatas do Flamengo,Flamengo,RJ,rj_flamengo.svg,rj_flamengo_512x512.png,rj_flamengo_3000x3000.png,Brasileiro série A1,Brasileiro série A,sim,,,,,,
Fluminense Football Club,Fluminense,RJ,rj_fluminense.svg,rj_fluminense_512x512.png,rj_fluminense_3000x3000.png,Brasileiro série A1,Brasileiro série A,sim,,,,,,
SAF Botafogo,Botafogo,RJ,rj_botafogo.svg,rj_botafogo_512x512.png,rj_botafogo_3000x3000.png,Brasileiro série A1,Brasileiro série A,sim,,,,,,
Vasco da Gama SAF,Vasco da Gama,RJ,rj_vasco-da-gama.svg,rj_vasco-da-gama_512x512.png,rj_vasco-da-gama_3000x3000.png,Brasileiro série A2,Brasileiro série A,não participou,,,,,,
Grêmio Foot-Ball Porto Alegrense,Grêmio,RS,rs_gremio.svg,rs_gremio_512x512.png,rs_gremio_3000x3000.png,Brasileiro série A1,Brasileiro série A,não participou,,,,,,
Sport Club Internacional,Internacional,RS,rs_internacional.svg,rs_internacional_512x512.png,rs_internacional_3000x3000.png,Brasileiro série A1,Brasileiro série A,não participou,,,,,,
Chapecoense,Chapecoense,SC,sc_chapecoense.svg,sc_chapecoense_512x512.png,sc_chapecoense_3000x3000.png,não participou,Brasileiro série A,não participou,,,,,,
Mirassol,Mirassol,SP,sp_mirassol.svg,sp_mirassol_512x512.png,sp_mirassol_3000x3000.png,não participou,Brasileiro série A,sim,,,,,,
Red Bull Bragantino,Bragantino,SP,sp_rb-bragantino.svg,sp_rb-bragantino_512x512.png,sp_rb-bragantino_3000x3000.png,Brasileiro série A1,Brasileiro série A,não participou,,,,,,
Santos Futebol Clube,Santos,SP,sp_santos.svg,sp_santos_512x512.png,sp_santos_3000x3000.png,Brasileiro série A1,Brasileiro série A,não participou,,,,,,
São Paulo Futebol Clube,São Paulo,SP,sp_sao-paulo.svg,sp_sao-paulo_512x512.png,sp_sao-paulo_3000x3000.png,Brasileiro série A1,Brasileiro série A,não participou,,,,,,
Sociedade Esportiva Palmeiras,Palmeiras,SP,sp_palmeiras.svg,sp_palmeiras_512x512.png,sp_palmeiras_3000x3000.png,Brasileiro série A1,Brasileiro série A,sim,,,,,,
Sport Club Corinthians Paulista,Corinthians,SP,sp_corinthians.svg,sp_corinthians_512x512.png,sp_corinthians_3000x3000.png,Brasileiro série A1,Brasileiro série A,sim,,,,,,
Clube de Regatas Brasil (CRB),CRB,AL,al_crb.svg,al_crb_512x512.png,al_crb_3000x3000.png,não participou,Brasileiro série B,não participou,,,,,,
Ceará Sporting Club,Ceará,CE,ce_ceara.svg,ce_ceara_512x512.png,ce_ceara_3000x3000.png,Brasileiro série A2,Brasileiro série B,não participou,,,,,,
Fortaleza Esporte Clube SAF,Fortaleza,CE,ce_fortaleza.svg,ce_fortaleza_512x512.png,ce_fortaleza_3000x3000.png,não participou,Brasileiro série B,não participou,,,,,,
Atlético Goianiense SAF,Atlético Goianense,GO,go_atletico-goianiense.svg,go_atletico-goianiense_512x512.png,go_atletico-goianiense_3000x3000.png,não participou,Brasileiro série B,não participou,,,,,,
Goiás Esporte Clube,Goiás,GO,go_goias.svg,go_goias_512x512.png,go_goias_3000x3000.png,não participou,Brasileiro série B,não participou,,,,,,
Vila Nova Futebol Clube,Vila Nova,GO,go_vila-nova.svg,go_vila-nova_512x512.png,go_vila-nova_3000x3000.png,Brasileiro série A2,Brasileiro série B,não participou,,,,,,
América Futebol Clube SAF,América-MG,MG,mg_america-mineiro.svg,mg_america-mineiro_512x512.png,mg_america-mineiro_3000x3000.png,Brasileiro série A1,Brasileiro série B,não participou,,,,,,
Athletic Club - A. C. Esportes SAF,Athletic Club,MG,mg_athletic.svg,mg_athletic_512x512.png,mg_athletic_3000x3000.png,não participou,Brasileiro série B,não participou,,,,,,
Cuiabá Esporte Clube SAF,Cuiabá,MT,mt_cuiaba.svg,mt_cuiaba_512x512.png,mt_cuiaba_3000x3000.png,não participou,Brasileiro série B,não participou,,,,,,
Clube Náutico Capibaribe ,Náutico,PE,pe_nautico.svg,pe_nautico_512x512.png,pe_nautico_3000x3000.png,não participou,Brasileiro série B,não participou,,,,,,
Sport Club do Recife,Sport,PE,pe_sport-recife.svg,pe_sport-recife_512x512.png,pe_sport-recife_3000x3000.png,Brasileiro série A2,Brasileiro série B,não participou,,,,,,
Londrina Esporte Clube SAF ,Londrina,PR,pr_londrina.svg,pr_londrina_512x512.png,pr_londrina_3000x3000.png,não participou,Brasileiro série B,não participou,,,,,,
Operário Ferroviário Esporte Clube,Operário Ferroviário,PR,pr_operario-ferroviario.svg,pr_operario-ferroviario_512x512.png,pr_operario-ferroviario_3000x3000.png,não participou,Brasileiro série B,não participou,,,,,,
